agent,date,activite,utilise_emballage,quantite_par_jour,objectifs,preference_type,frequence_livraison,caracteristique_1,caracteristique_2,budget_mensuel,mode_approvisionnement,materiaux,taille_emballage,nb_compartiments,fenetre_transparente,contenance_1comp,contenance_2comp,contenance_3comp,contenance_4comp,echantillon_prefere,intention_achat,prix_centaine_actuel,achat_meme_plus_cher,contraintes_legales,autres_criteres,commentaires,suggestions,tranche_prix,segment
AG-COT-001,2024-11-20,Pizzas/salade de fruit/burger/chawama/salade jus ....,Oui,10-30,Economie de couts,Jetable,Hebdomadairement,Résistance à la chaleur,Esthétique,7000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"500ML, 700ML, 800ML, 850ML",1100ML,1100ML,Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Peut-être,12000.0,Oui,N,N,N,N,8000-15000,B - Client moyen
AG-COT-001,2024-11-20,Chawama/couscous/viande harché/akassa moyo/....,Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,10500.0,Commande en ligne,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"500ML, 700ML, 800ML, 850ML, 1100ML","800ML, 850ML",1100ML,1100ML,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,12000.0,Peut-être,N,N,N,N,8000-15000,B - Client moyen
AG-COT-001,2024-11-20,Poulet braisé/poisson braisé/Côme/pâte blanche...,Oui,1-10,Economie de couts,Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,7000.0,Commande en ligne,"Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments",Non,"500ML, 700ML, 800ML, 850ML, Autres","800ML, 1100ML","800ML, 850ML",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,8000.0,Oui,N,N,N,N,5000-8000,C - Petit client
AG-COT-001,2024-11-20,Sauce de mouton/riz alloco/igname pilé/boisson,Oui,1-10,Economie de couts,Jetable,Hebdomadairement,Facilité d'ouverture,Esthétique,7000.0,Distribution locale,"Plastique, Carton",Grand,"1 seul compartiment, 2 compartiments",Oui,"500ML, 850ML","700ML, 850ML","850ML, 1100ML",1100ML,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,7000.0,Oui,N,N,N,N,5000-8000,C - Petit client
AG-COT-001,2024-11-20,Swandouch/thé/chawama/pizza/riz/jus de fruits.....,Oui,10-30,Marketing Durable,Jetable,Hebdomadairement,Résistance à la chaleur,Facilité d'ouverture,7000.0,Distribution locale,"Plastique, Carton",Moyen,"1 seul compartiment, 2 compartiments",Oui,"500ML, 700ML, 800ML","800ML, 850ML",1100ML,Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Oui,12000.0,Peut-être,N,N,N,N,8000-15000,C - Petit client
AG-COT-001,2024-11-20,Burger/spaghetti/chawama/pâtes,Oui,30-50,"Economie de couts, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,14000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments",Oui,"500ML, 700ML, 800ML, 850ML, 1100ML","800ML, 850ML, 1100ML",1100ML,Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent",Peut-être,20000.0,Oui,N,N,N,N,>15000,B - Client moyen
AG-COT-001,2024-11-20,"Pâte blanche,noir,igname pilé/sauce de sésames/légumes boissons",Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Mensuellement,Résistance à la chaleur,Securité alimentaire,14000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"500ML, 850ML, Autres","700ML, 800ML, 850ML, 1100ML",1100ML,Autres,"Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,3500.0,Oui,N,N,N,N,2500-5000,B - Client moyen
AG-COT-001,2024-11-20,Frites au poulet/brochettes escargots/jus de fruits...,Oui,30-50,"Economie de couts, Marketing Durable",Les deux,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,7000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"500ML, 700ML, 850ML, 1100ML","700ML, 800ML, 1100ML","1100ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,25000.0,Oui,N,N,N,N,>15000,B - Client moyen
AG-COT-001,2024-11-20,Atiekè/spaghetti/alloco frites/poisson braisé/boisson...,Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,8000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Non,"500ML, 700ML, 1100ML","500ML, 700ML, 800ML, 850ML, 1100ML, Autres","1100ML, Autres",Autres,"Multi-compartiment en Papier carton dur, Multi-compartiment en plastique, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,15000.0,Oui,N,N,N,N,8000-15000,B - Client moyen
AG-COT-002,2024-11-18,Les mets Africain et Européen,Oui,1-10,Economie de couts,Jetable,Hebdomadairement,Résistance à la chaleur,Étanchéité,60000.0,Distribution locale,Plastique,Grand,3 compartiments,Oui,700ML,"700ML, 800ML",800ML,"700ML, 800ML","Option 1, Option 3",Oui,70000.0,Peut-être,Non,Aucune,Non,Aucune,>15000,B - Client moyen
AG-COT-002,2024-11-18,Nourriture et boissons faste food,Oui,30-50,"Economie de couts, Experience Client, Marketing Durable",Les deux,Hebdomadairement,Facilité d'ouverture,Résistance à la chaleur,20000.0,Distribution locale,"Plastique, Carton",Moyen,"1 seul compartiment, 2 compartiments, 3 compartiments, 4 compartiments",Oui,500ML,"700ML, 800ML",700ML,"700ML, 800ML","Option 1, Option 4",Peut-être,20000.0,Peut-être,Non,La grandeur de l'emballage,Non,Aucune,>15000,B - Client moyen
AG-COT-002,2024-11-18,"Salade, grillades,aloko frite , lait caillé",Oui,1-10,"Economie de couts, Experience Client",Reutilisable,Hebdomadairement,Facilité d'ouverture,Résistance à la chaleur,2500.0,Distribution locale,Plastique,Grand,"2 compartiments, 4 compartiments",Oui,800ML,800ML,800ML,800ML,"Option 1, Option 3",Peut-être,2500.0,Peut-être,La grandeur,Toujours là grandeur,Non,Aucune,<2500,C - Petit client
AG-COT-002,2024-11-18,Poisson braisé,Oui,30-50,Economie de couts,Jetable,Hebdomadairement,Résistance à la chaleur,Facilité d'ouverture,12000.0,Distribution locale,Plastique,Grand,1 seul compartiment,Oui,800ML,800ML,800ML,800ML,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,15000.0,Peut-être,Grand,Grand,Non,Aucune,8000-15000,B - Client moyen
AG-COT-002,2024-11-18,Fast food,Oui,10-30,Marketing Durable,Les deux,Hebdomadairement,Résistance à la chaleur,Facilité d'ouverture,3000.0,Distribution locale,Plastique,Moyen,3 compartiments,Non,800ML,800ML,800ML,800ML,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,5000.0,Peut-être,La grandeur,Grandeur,Non,Aucune,2500-5000,C - Petit client
AG-COT-002,2024-11-18,Fast food,Oui,10-30,Economie de couts,Jetable,Hebdomadairement,Résistance à la chaleur,Facilité d'ouverture,7000.0,Distribution locale,Plastique,Grand,3 compartiments,Oui,800ML,800ML,800ML,800ML,"En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,5000.0,Peut-être,Non,Grandeur,Grandeur,Aucune,2500-5000,C - Petit client
AG-COT-002,2024-11-18,"Riz, la pâte, frite",Oui,10-30,Economie de couts,Jetable,Hebdomadairement,Facilité d'ouverture,Résistance à la chaleur,2500.0,Distribution locale,"Plastique, Carton",Grand,3 compartiments,Oui,800ML,800ML,800ML,800ML,"Multi-compartiment en plastique, Un seul compartiment en Papier carton dur",Oui,2500.0,Oui,Non,Grandeur et qualité,Non,Aucune,<2500,B - Client moyen
AG-COT-002,2024-11-19,Fart food,Oui,10-30,Economie de couts,Jetable,Hebdomadairement,Résistance à la chaleur,Facilité d'ouverture,30000.0,Distribution locale,"Plastique, Carton",Grand,"3 compartiments, 4 compartiments",Oui,800ML,800ML,800ML,800ML,"Multi-compartiment en plastique, En plastique avec couvercle Transparent",Peut-être,3500.0,Peut-être,Non,RAS,NON,Aucune,2500-5000,B - Client moyen
AG-COT-002,2024-11-19,La nourriture de préférence gbota,Oui,10-30,Economie de couts,Jetable,Quotidiennement,Résistance à la chaleur,Facilité d'ouverture,15000.0,Distribution locale,Carton,Grand,"2 compartiments, 4 compartiments",Oui,800ML,800ML,800ML,800ML,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,3500.0,Peut-être,Non,Grand,Non,Aucune,2500-5000,B - Client moyen
AG-COT-002,2024-11-19,Faste food et mets Africain,Oui,1-10,"Economie de couts, Experience Client, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Facilité d'ouverture,7500.0,Distribution locale,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 4 compartiments",Oui,800ML,700ML,800ML,800ML,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,3000.0,Peut-être,Propre et facile à transporter,La taille,Non,Aucune,2500-5000,C - Petit client
AG-COT-002,2024-11-19,Mets européenne et africaine,Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Quotidiennement,Facilité d'ouverture,Résistance à la chaleur,10000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 3 compartiments, 4 compartiments",Non,800ML,800ML,800ML,800ML,"Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,4000.0,Peut-être,Non,Juste la grandeur,Non,Aucune,2500-5000,B - Client moyen
AG-COT-002,2024-11-19,Fats food,Oui,10-30,Economie de couts,Jetable,Quotidiennement,Résistance à la chaleur,Facilité d'ouverture,7000.0,Commande en ligne,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 3 compartiments, 4 compartiments",Oui,800ML,800ML,800ML,800ML,"Multi-compartiment en plastique, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,3500.0,Oui,Non,Aucun,Non,Aucune,2500-5000,B - Client moyen
AG-COT-002,2024-11-19,Zackaryassarud@gmail.com,Oui,10-30,"Economie de couts, Experience Client",Jetable,Quotidiennement,Résistance à la chaleur,Facilité d'ouverture,6000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Grand,"1 seul compartiment, 3 compartiments, 4 compartiments",Oui,800ML,800ML,800ML,800ML,"Multi-compartiment en plastique, En plastique avec couvercle Transparent",Oui,3500.0,Oui,Non,Non,Non,Aucune,2500-5000,B - Client moyen
AG-COT-002,2024-11-19,Placali,Oui,30-50,"Economie de couts, Experience Client",Jetable,Quotidiennement,Résistance à la chaleur,Étanchéité,7000.0,Commande en ligne,"Plastique, Carton",Grand,"1 seul compartiment, 4 compartiments",Oui,800ML,800ML,700ML,800ML,"Multi-compartiment en plastique, Un seul compartiment en Papier carton dur",Peut-être,3500.0,Peut-être,Non,Non,Non,Aucune,2500-5000,C - Petit client
AG-COT-002,2024-11-19,Fast food,Oui,10-30,"Economie de couts, Experience Client",Jetable,Quotidiennement,Facilité d'ouverture,Résistance à la chaleur,7000.0,Commande en ligne,Carton,Grand,"1 seul compartiment, 4 compartiments",Oui,800ML,800ML,500ML,800ML,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Oui,3500.0,Oui,Non,Elle doit être personnalisés,Non,Aucune,2500-5000,B - Client moyen
AG-COT-002,2024-11-19,Fast food,Oui,10-30,"Economie de couts, Experience Client, Marketing Durable",Jetable,Quotidiennement,Résistance à la chaleur,Facilité d'ouverture,27500.0,Distribution locale,"Plastique, Carton",Grand,"1 seul compartiment, 3 compartiments, 4 compartiments",Oui,800ML,800ML,"500ML, 800ML","700ML, 800ML","Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,3500.0,Peut-être,Non,Non,Non,Aucune,2500-5000,B - Client moyen
AG-COT-002,2024-11-19,Pizzeria grille crepe,Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Facilité d'ouverture,10000.0,Distribution locale,"Plastique, Carton",Grand,"1 seul compartiment, 3 compartiments, 4 compartiments",Oui,800ML,800ML,800ML,800ML,Un seul compartiment en Papier carton dur,Oui,4000.0,Peut-être,Non,Non,Non,Aucune,2500-5000,B - Client moyen
AG-COT-002,2024-11-19,Fast food,Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Hebdomadairement,Résistance à la chaleur,Facilité d'ouverture,15000.0,Distribution locale,"Plastique, Carton",Grand,1 seul compartiment,Oui,800ML,500ML,500ML,500ML,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,4500.0,Peut-être,Non,Non,Non,Aucune,2500-5000,B - Client moyen
AG-COT-002,2024-11-19,Fast food et mets Africain,Oui,10-30,Economie de couts,Jetable,Hebdomadairement,Résistance à la chaleur,Facilité d'ouverture,7500.0,Distribution locale,"Plastique, Carton",Grand,1 seul compartiment,Oui,800ML,800ML,800ML,800ML,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,3000.0,Peut-être,Non,La qualité et la grandeur,Non,Aucune,2500-5000,C - Petit client
AG-COT-002,2024-11-20,Fast food,Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Quotidiennement,Résistance à la chaleur,Étanchéité,10000.0,Commande en ligne,"Plastique, Carton",Moyen,1 seul compartiment,Oui,800ML,800ML,800ML,800ML,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,3500.0,Peut-être,Non,La grandeur,Non,Juste fait des plats jetable plus grand,2500-5000,B - Client moyen
AG-CAL-002,2024-12-27,Mets européens et africains,Oui,1-10,"Economie de couts, Marketing Durable",Jetable,Mensuellement,Résistance à la chaleur,Étanchéité,7000.0,Commande en ligne,Carton,Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,1100ML,Autres,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Oui,10000.0,Oui,Non,Aucun,Non,Que le prix soit abordable,8000-15000,C - Petit client
AG-CAL-002,2024-12-28,Met européen et africains,Oui,30-50,"Marketing Durable, Innovation culinaire",Jetable,Quotidiennement,Résistance à la chaleur,Securité alimentaire,5000.0,Distribution locale,"Plastique, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments",Oui,"850ML, 1100ML",Non précisé,Non précisé,Non précisé,Un seul compartiment en Papier carton dur,Oui,10000.0,Oui,Non,Aucun autre,Non,Que le prix soit abordable,8000-15000,B - Client moyen
AG-CAL-002,2024-12-29,Met africains et européennes,Oui,10-30,"Marketing Durable, Innovation culinaire",Les deux,Mensuellement,Securité alimentaire,Esthétique,7000.0,Distribution locale,Plastique,Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"500ML, 850ML, 1100ML",Non précisé,Non précisé,Non précisé,Multi-compartiment en plastique,Peut-être,2000.0,Oui,Non,Aucun,Non,Non,<2500,B - Client moyen
AG-CAL-002,2024-12-30,Met africains,Oui,1-10,"Economie de couts, Marketing Durable",Reutilisable,Mensuellement,Résistance à la chaleur,Securité alimentaire,2000.0,Commande en ligne,Plastique,Grand,"1 seul compartiment, 2 compartiments",Oui,"850ML, 1100ML",Non précisé,Non précisé,Non précisé,En plastique avec couvercle Transparent,Peut-être,2000.0,Peut-être,Non,Non,Non,Que le prix soit abordable,<2500,C - Petit client
AG-CAL-002,2024-12-30,Met africains et européennes,Oui,10-30,"Economie de couts, Marketing Durable",Jetable,Mensuellement,Securité alimentaire,Esthétique,5000.0,Commande en ligne,"Plastique, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments",Oui,"500ML, 1100ML",850ML,Non précisé,Non précisé,Plat en Plastique dur reutilisable,Peut-être,3500.0,Peut-être,Non,Aucun,Non,Pas chère,2500-5000,C - Petit client
AG-CAL-002,2024-12-30,Met européennes/pâtissier,Oui,1-10,Economie de couts,Jetable,Mensuellement,Résistance à la chaleur,Securité alimentaire,3000.0,Commande en ligne,Bioplastiques,Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,700ML,850ML,Non précisé,Non précisé,Un seul compartiment en Papier carton dur,Peut-être,2500.0,Peut-être,Non,Aucun,Non,Que prix soit abordable,<2500,C - Petit client
AG-CAL-002,2024-12-30,Mets africains,Oui,10-30,"Economie de couts, Marketing Durable",Reutilisable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,5000.0,Distribution locale,"Plastique, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,4000.0,Peut-être,Non,Aucun,Non,Que le prix soit abordable,2500-5000,C - Petit client
AG-CAL-002,2024-12-30,Mets africains et européennes,Oui,10-30,"Economie de couts, Marketing Durable",Les deux,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,5000.0,Distribution locale,"Plastique, Carton, Bioplastiques",Bien grand,"1 seul compartiment, 2 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,Plat en Plastique dur reutilisable,Peut-être,3500.0,Oui,Non,La grandeur et la solidité,Non,Que le prix soit abordable,2500-5000,B - Client moyen
AG-CAL-002,2024-12-30,Mets africains,Oui,1-10,"Economie de couts, Marketing Durable",Reutilisable,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,4000.0,Commande en ligne,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,2500.0,Peut-être,Non,Aucun autre,Non,Que ce soit moins chère,<2500,C - Petit client
AG-CAL-002,2024-12-30,Mets européennes africains et bouille,Oui,1-10,"Marketing Durable, Innovation culinaire",Jetable,Mensuellement,Résistance à la chaleur,Securité alimentaire,4000.0,Distribution locale,"Carton, Bioplastiques",Moyen,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,700ML,800ML,Non précisé,Non précisé,"Multi-compartiment en plastique, Un seul compartiment en Papier carton dur",Oui,2500.0,Peut-être,Non,Un peu profond,Non,Le coût soit abordable,<2500,C - Petit client
AG-CAL-002,2024-12-30,Mets africains et européennes,Oui,1-10,"Economie de couts, Marketing Durable",Jetable,Mensuellement,Résistance à la chaleur,Securité alimentaire,2500.0,Distribution locale,Bioplastiques,Bien grand,"1 seul compartiment, 2 compartiments",Oui,1100ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,2000.0,Peut-être,Non,Rien d'autre à part la taille,Non que le coût soit bon,Aucune,<2500,C - Petit client
AG-CAL-002,2025-01-04,Met africains et européens,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,4000.0,Commande en ligne,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,Non précisé,"850ML, 1100ML",Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Oui,2000.0,Peut-être,Non,Aucun,Non,Le coût soit bon,<2500,C - Petit client
AG-CAL-002,2025-01-04,Mets africains,Oui,1-10,"Economie de couts, Marketing Durable",Reutilisable,Mensuellement,Résistance à la chaleur,Esthétique,3000.0,Commande en ligne,Bioplastiques,Grand,"1 seul compartiment, 2 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Peut-être,2500.0,Peut-être,Non,Aucun,Non,Que le prix soit abordable,<2500,C - Petit client
AG-CAL-002,2025-01-04,Mets africains et européens,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Hebdomadairement,Résistance à la chaleur,Esthétique,3500.0,Commande en ligne,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments",Oui,1100ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Peut-être,2500.0,Oui,Non,Aucun autre,Une plus grande taille,Que le prix soit abordable,<2500,C - Petit client
AG-CAL-002,2025-01-04,Mets africains et européens,Oui,1-10,Economie de couts,Reutilisable,Mensuellement,Résistance à la chaleur,Securité alimentaire,3000.0,Commande en ligne,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments",Oui,800ML,850ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Oui,2500.0,Peut-être,Non,La longueur,Non,Que le prix soit bon,<2500,C - Petit client
AG-CAL-002,2025-01-04,Mets africains et européens,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,5000.0,Commande en ligne,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Peut-être,3500.0,Peut-être,Non,Aucun autre,Non,Que le prix soit bon,2500-5000,C - Petit client
AG-CAL-002,2025-01-04,Mets africains,Oui,1-10,Economie de couts,Reutilisable,Mensuellement,Résistance à la chaleur,Securité alimentaire,3000.0,Commande en ligne,Plastique,Moyen,"1 seul compartiment, 2 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Peut-être,3500.0,Peut-être,Non,Aucun,Non,Non,2500-5000,C - Petit client
AG-CAL-002,2025-01-04,Mets africains,Oui,1-10,Economie de couts,Les deux,Mensuellement,Résistance à la chaleur,Esthétique,3500.0,Commande en ligne,Bioplastiques,Grand,"1 seul compartiment, 2 compartiments",Oui,1100ML,700ML,Non précisé,Non précisé,Plat en Plastique dur reutilisable,Oui,2500.0,Peut-être,Non,Aucun,Pas pour le moment,Que ce soit moins chère,<2500,C - Petit client
AG-CAL-002,2025-01-04,Mets africains,Oui,1-10,Economie de couts,Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,3000.0,Commande en ligne,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments",Oui,700ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Oui,2000.0,Peut-être,Non aucun,La taille et le prix,Non,Quoi le prix soit abordable,<2500,C - Petit client
AG-CAL-002,2025-01-04,Mets européens et africains,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Esthétique,Esthétique,4000.0,Commande en ligne,Bioplastiques,Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,3500.0,Oui,Non,Aucun,Non,Pas pour le moment,2500-5000,C - Petit client
AG-CAL-002,2025-01-04,Mets africains et européens,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Hebdomadairement,Esthétique,Securité alimentaire,4500.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments, 4 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Oui,2500.0,Oui,Non,La taille,Pas pour l'instant,Que le prix soit abordable,<2500,C - Petit client
AG-CAL-002,2025-01-04,Met africains et européens,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,3000.0,Commande en ligne,Bioplastiques,Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Un seul compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Oui,3500.0,Peut-être,Non,La taille,Non,Le coût,2500-5000,C - Petit client
AG-CAL-002,2025-01-04,Mets africains et européens,Oui,1-10,Economie de couts,Reutilisable,Mensuellement,Résistance à la chaleur,Securité alimentaire,3000.0,Commande en ligne,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,"850ML, Autres",1100ML,Non précisé,Non précisé,"En plastique avec couvercle Transparent, Plat en Plastique dur reutilisable",Oui,2500.0,Peut-être,La taille,Le coût,Non,Que le prix soit abordable,<2500,C - Petit client
AG-CAL-002,2025-01-04,Mets africains et européens,Oui,10-30,"Economie de couts, Marketing Durable, Innovation culinaire",Les deux,Hebdomadairement,Esthétique,Securité alimentaire,5000.0,Distribution locale,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments",Oui,850ML,1100ML,Autres,Non précisé,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur, En plastique avec couvercle Transparent",Oui,3500.0,Oui,Non,La taille,Non,Le soit abordable,2500-5000,B - Client moyen
AG-CAL-002,2025-01-04,Mets africains et européens,Oui,1-10,"Economie de couts, Marketing Durable, Innovation culinaire",Les deux,Hebdomadairement,Résistance à la chaleur,Securité alimentaire,4000.0,Distribution locale,"Carton, Bioplastiques",Grand,"1 seul compartiment, 2 compartiments, 3 compartiments, 4 compartiments",Oui,1100ML,Autres,Autres,Autres,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur, Plat en Plastique dur reutilisable",Oui,2500.0,Peut-être,La taille grande et un peu profond,La solidité,Non,Que le prix soit abordable,<2500,C - Petit client
AG-CAL-002,2025-01-04,Mets africains et européens,Oui,1-10,"Economie de couts, Innovation culinaire",Les deux,Mensuellement,Résistance à la chaleur,Esthétique,2500.0,Commande en ligne,Carton,Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,Autres,Non précisé,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur",Oui,2500.0,Peut-être,La taille,La profondeur,Non,Que le prix soit bon,<2500,C - Petit client
AG-CAL-002,2025-01-04,Mets africains,Oui,1-10,"Economie de couts, Marketing Durable",Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,5000.0,Distribution locale,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments, 4 compartiments",Oui,Non précisé,1100ML,1100ML,1100ML,"Multi-compartiment en Papier carton dur, En plastique avec couvercle Transparent",Oui,3500.0,Peut-être,La taille,La profondeur,Non,Le coût soit bon,2500-5000,C - Petit client
AG-CAL-002,2025-01-06,Mets africains et européens,Oui,1-10,"Economie de couts, Marketing Durable, Innovation culinaire",Les deux,Mensuellement,Résistance à la chaleur,Securité alimentaire,5000.0,Commande en ligne,"Carton, Bioplastiques",Grand,"2 compartiments, 3 compartiments",Oui,850ML,1100ML,Non précisé,Non précisé,"Multi-compartiment en Papier carton dur, Un seul compartiment en Papier carton dur",Oui,2000.0,Peut-être,Non,Non,Aucun pour le moment,Le coût,<2500,C - Petit client
